surname,compound,initial,initial.rank,n.1930_2008,ppm.1930_2008,surname.uniqueness
王,0,w,23,88465683,74861.812,1.126
李,0,l,12,87096536,73703.206,1.133
张,0,z,26,83109353,70329.155,1.153
刘,0,l,12,62697223,53055.914,1.275
陈,0,c,3,53825412,45548.372,1.342
杨,0,y,25,39810444,33688.565,1.473
黄,0,h,8,27750712,23483.327,1.629
赵,0,z,26,24949775,21113.106,1.675
吴,0,w,23,23622133,19989.623,1.699
周,0,z,26,23192918,19626.411,1.707
徐,0,x,24,17693186,14972.404,1.825
孙,0,s,19,17199753,14554.849,1.837
朱,0,z,26,15611100,13210.492,1.879
马,0,m,13,15453832,13077.408,1.883
胡,0,h,8,14222377,12035.321,1.920
郭,0,g,7,13589708,11499.941,1.939
何,0,h,8,12688078,10736.960,1.969
高,0,g,7,12324042,10428.904,1.982
罗,0,l,12,11654386,9862.225,2.006
林,0,l,12,11609565,9824.296,2.008
郑,0,z,26,10775751,9118.702,2.040
梁,0,l,12,9913819,8389.315,2.076
谢,0,x,24,8824357,7467.385,2.127
宋,0,s,19,8648852,7318.869,2.135
唐,0,t,20,8448817,7149.594,2.146
韩,0,h,8,7593398,6425.718,2.192
许,0,x,24,7566528,6402.980,2.194
冯,0,f,6,7491551,6339.533,2.198
邓,0,d,4,7373938,6240.006,2.205
曹,0,c,3,7324974,6198.571,2.208
彭,0,p,16,6971754,5899.668,2.229
曾,0,z,26,6679993,5652.772,2.248
肖,0,x,24,6443757,5452.864,2.263
田,0,t,20,6414971,5428.504,2.265
董,0,d,4,6305008,5335.451,2.273
袁,0,y,25,6153789,5207.486,2.283
于,0,y,25,6078073,5143.413,2.289
潘,0,p,16,6044909,5115.349,2.291
蒋,0,j,10,5828878,4932.538,2.307
杜,0,d,4,5737478,4855.193,2.314
蔡,0,c,3,5732828,4851.258,2.314
余,0,y,25,5680166,4806.695,2.318
程,0,c,3,5550466,4696.939,2.328
魏,0,w,23,5482896,4639.760,2.333
叶,0,y,25,5447071,4609.444,2.336
吕,0,l,12,5340320,4519.109,2.345
丁,0,d,4,5333666,4513.478,2.345
苏,0,s,19,5311060,4494.348,2.347
任,0,r,18,5122226,4334.552,2.363
沈,0,s,19,5012587,4241.773,2.372
姚,0,y,25,4933886,4175.174,2.379
姜,0,j,10,4896622,4143.641,2.383
卢,0,l,12,4807058,4067.849,2.391
崔,0,c,3,4757700,4026.081,2.395
钟,0,z,26,4662008,3945.105,2.404
谭,0,t,20,4487036,3797.039,2.420
汪,0,w,23,4471582,3783.961,2.422
范,0,f,6,4442236,3759.128,2.425
陆,0,l,12,4388531,3713.682,2.430
金,0,j,10,4357157,3687.132,2.433
石,0,s,19,4182566,3539.389,2.451
廖,0,l,12,4115605,3482.725,2.458
贾,0,j,10,4094102,3464.529,2.460
夏,0,x,24,3938636,3332.970,2.477
付,0,f,6,3870648,3275.436,2.485
方,0,f,6,3743442,3167.792,2.499
韦,0,w,23,3698991,3130.176,2.504
邹,0,z,26,3616673,3060.517,2.514
白,0,b,2,3588151,3036.381,2.518
熊,0,x,24,3563766,3015.745,2.520
孟,0,m,13,3539522,2995.230,2.523
秦,0,q,17,3522862,2981.131,2.525
邱,0,q,17,3253603,2753.278,2.560
尹,0,y,25,3197544,2705.839,2.568
江,0,j,10,3179283,2690.387,2.570
薛,0,x,24,3146574,2662.707,2.575
闫,0,y,25,3077383,2604.156,2.584
侯,0,h,8,3052713,2583.280,2.588
段,0,d,4,2976554,2518.832,2.599
雷,0,l,12,2917435,2468.804,2.607
史,0,s,19,2632424,2227.621,2.652
龙,0,l,12,2630494,2225.988,2.652
陶,0,t,20,2601340,2201.317,2.657
顾,0,g,7,2546885,2155.236,2.666
贺,0,h,8,2538904,2148.482,2.668
黎,0,l,12,2503290,2118.345,2.674
郝,0,h,8,2475437,2094.775,2.679
毛,0,m,13,2459298,2081.118,2.681
邵,0,s,19,2434040,2059.744,2.686
龚,0,g,7,2432556,2058.488,2.686
万,0,w,23,2370139,2005.669,2.698
钱,0,q,17,2284315,1933.043,2.714
武,0,w,23,2241008,1896.395,2.722
严,0,y,25,2240852,1896.263,2.722
戴,0,d,4,2204299,1865.331,2.729
孔,0,k,11,2128308,1801.026,2.744
向,0,x,24,2110622,1786.060,2.748
覃,0,q,17,2069008,1750.845,2.757
常,0,c,3,2056982,1740.668,2.759
汤,0,t,20,2051959,1736.418,2.760
莫,0,m,13,1987618,1681.971,2.774
康,0,k,11,1935510,1637.876,2.785
文,0,w,23,1900068,1607.884,2.793
温,0,w,23,1895056,1603.642,2.795
牛,0,n,14,1882989,1593.431,2.797
代,0,d,4,1882061,1592.646,2.798
赖,0,l,12,1873769,1585.629,2.800
洪,0,h,8,1831469,1549.834,2.809
葛,0,g,7,1801833,1524.755,2.817
施,0,s,19,1797063,1520.718,2.818
邢,0,x,24,1768313,1496.389,2.825
安,0,a,1,1731244,1465.021,2.834
樊,0,f,6,1667391,1410.987,2.850
齐,0,q,17,1641237,1388.855,2.857
乔,0,q,17,1609039,1361.608,2.866
易,0,y,25,1597113,1351.516,2.869
庞,0,p,16,1546822,1308.958,2.883
倪,0,n,14,1496219,1266.137,2.897
伍,0,w,23,1495816,1265.796,2.897
鲁,0,l,12,1480591,1252.912,2.902
聂,0,n,14,1469755,1243.742,2.905
章,0,z,26,1416159,1198.388,2.921
岳,0,y,25,1397065,1182.230,2.927
颜,0,y,25,1391776,1177.755,2.929
殷,0,y,25,1373141,1161.985,2.934
翟,0,z,26,1364926,1155.034,2.937
申,0,s,19,1358397,1149.509,2.939
耿,0,g,7,1287565,1089.569,2.962
欧,0,o,15,1266711,1071.922,2.969
庄,0,z,26,1243137,1051.973,2.978
左,0,z,26,1238445,1048.002,2.979
焦,0,j,10,1236969,1046.753,2.980
兰,0,l,12,1236741,1046.560,2.980
关,0,g,7,1220178,1032.544,2.986
俞,0,y,25,1194289,1010.636,2.995
柳,0,l,12,1183330,1001.363,2.999
甘,0,g,7,1133387,959.100,3.018
祝,0,z,26,1110217,939.493,3.027
傅,0,f,6,1087273,920.077,3.036
包,0,b,2,1029143,870.886,3.060
尚,0,s,19,1020275,863.382,3.063
毕,0,b,2,1008870,853.730,3.068
舒,0,s,19,994709,841.747,3.074
宁,0,n,14,985763,834.177,3.078
曲,0,q,17,965839,817.316,3.087
梅,0,m,13,964564,816.238,3.088
童,0,t,20,947726,801.989,3.095
阮,0,r,18,944949,799.639,3.097
纪,0,j,10,942503,797.569,3.098
季,0,j,10,941840,797.008,3.098
苗,0,m,13,933769,790.178,3.102
单,0,d,4,933513,789.961,3.102
裴,0,p,16,931716,788.441,3.103
符,0,f,6,922896,780.977,3.107
谷,0,g,7,922046,780.258,3.107
凌,0,l,12,921671,779.940,3.107
成,0,c,3,911776,771.567,3.112
霍,0,h,8,911366,771.220,3.112
盛,0,s,19,908725,768.985,3.114
詹,0,z,26,897364,759.371,3.119
冉,0,r,18,895761,758.015,3.120
路,0,l,12,883203,747.388,3.126
骆,0,l,12,864033,731.166,3.135
辛,0,x,24,853499,722.252,3.141
靳,0,j,10,853059,721.879,3.141
柯,0,k,11,850517,719.728,3.142
涂,0,t,20,845458,715.447,3.145
蓝,0,l,12,817719,691.974,3.159
欧阳,1,o,15,807920,683.682,3.165
柴,0,c,3,800687,677.561,3.168
管,0,g,7,798948,676.089,3.169
翁,0,w,23,788294,667.074,3.175
祁,0,q,17,766364,648.516,3.187
鲍,0,b,2,762815,645.513,3.189
喻,0,y,25,749112,633.917,3.197
游,0,y,25,732358,619.739,3.207
蒙,0,m,13,725825,614.211,3.211
华,0,h,8,710952,601.625,3.220
蒲,0,p,16,703452,595.278,3.225
房,0,f,6,682001,577.126,3.238
滕,0,t,20,681689,576.862,3.238
屈,0,q,17,675945,572.001,3.242
饶,0,r,18,662075,560.264,3.251
解,0,j,10,658478,557.220,3.253
艾,0,a,1,655453,554.660,3.255
牟,0,m,13,653751,553.220,3.256
候,0,h,8,631747,534.600,3.271
时,0,s,19,619815,524.503,3.279
尤,0,y,25,604591,511.620,3.290
阳,0,y,25,600244,507.941,3.293
穆,0,m,13,596067,504.406,3.296
司,0,s,19,552929,467.902,3.329
吉,0,j,10,539077,456.180,3.340
车,0,c,3,534322,452.156,3.344
项,0,x,24,526161,445.250,3.350
缪,0,m,13,522392,442.061,3.354
芦,0,l,12,518415,438.695,3.357
农,0,n,14,518361,438.650,3.357
卓,0,z,26,502120,424.906,3.371
窦,0,d,4,500024,423.132,3.372
褚,0,c,3,497866,421.306,3.374
娄,0,l,12,493754,417.827,3.378
古,0,g,7,492537,416.797,3.379
景,0,j,10,486382,411.588,3.384
宫,0,g,7,485687,411.000,3.385
戚,0,q,17,479798,406.017,3.390
连,0,l,12,479014,405.353,3.391
费,0,f,6,477484,404.059,3.392
党,0,d,4,476999,403.648,3.393
冷,0,l,12,466976,395.166,3.402
卜,0,b,2,465642,394.038,3.403
晏,0,y,25,465124,393.599,3.404
米,0,m,13,446599,377.923,3.421
席,0,x,24,446314,377.682,3.422
柏,0,b,2,441781,373.846,3.426
卫,0,w,23,436878,369.697,3.431
宗,0,z,26,431949,365.526,3.436
岑,0,c,3,423622,358.479,3.444
佟,0,t,20,418337,354.007,3.450
边,0,b,2,416883,352.777,3.451
瞿,0,q,17,412001,348.645,3.456
麦,0,m,13,411592,348.299,3.457
桂,0,g,7,403946,341.829,3.465
沙,0,s,19,402618,340.705,3.466
臧,0,z,26,401545,339.797,3.468
全,0,q,17,397488,336.364,3.472
闵,0,m,13,395025,334.280,3.475
普,0,p,16,392649,332.269,3.477
姬,0,j,10,392482,332.128,3.477
和,0,h,8,390664,330.589,3.479
师,0,s,19,390242,330.232,3.480
苟,0,g,7,389836,329.889,3.480
邬,0,w,23,389561,329.656,3.481
卞,0,b,2,389078,329.247,3.481
应,0,y,25,388751,328.971,3.482
桑,0,s,19,381166,322.552,3.490
隋,0,s,19,380782,322.227,3.490
栾,0,l,12,376813,318.868,3.495
仇,0,c,3,372070,314.855,3.501
商,0,s,19,368428,311.773,3.505
刁,0,d,4,366399,310.056,3.507
简,0,j,10,364302,308.281,3.510
荣,0,r,18,357295,302.352,3.518
寇,0,k,11,356799,301.932,3.519
郎,0,l,12,347120,293.741,3.531
丛,0,c,3,325974,275.847,3.558
仲,0,z,26,324758,274.818,3.559
明,0,m,13,323668,273.896,3.561
查,0,c,3,320050,270.834,3.566
巫,0,w,23,319720,270.555,3.566
占,0,z,26,319409,270.292,3.567
甄,0,z,26,318189,269.259,3.568
巩,0,g,7,314035,265.744,3.574
虞,0,y,25,313997,265.712,3.574
丘,0,q,17,308776,261.294,3.581
佘,0,s,19,308737,261.261,3.581
苑,0,y,25,305195,258.263,3.586
迟,0,c,3,303625,256.935,3.588
麻,0,m,13,300125,253.973,3.594
池,0,c,3,297968,252.148,3.597
阎,0,y,25,295871,250.373,3.600
敖,0,a,1,292788,247.764,3.604
封,0,f,6,287748,243.499,3.612
鞠,0,j,10,284208,240.504,3.617
谈,0,t,20,280529,237.390,3.623
惠,0,h,8,278774,235.905,3.625
匡,0,k,11,277727,235.019,3.627
官,0,g,7,272971,230.995,3.635
荆,0,j,10,268580,227.279,3.642
郁,0,y,25,266458,225.483,3.645
胥,0,x,24,265457,224.636,3.647
冀,0,j,10,263246,222.765,3.650
乐,0,y,25,261860,221.592,3.652
南,0,n,14,261127,220.972,3.654
邝,0,k,11,250548,212.020,3.672
栗,0,l,12,248863,210.594,3.674
储,0,c,3,246595,208.675,3.678
原,0,y,25,245668,207.890,3.680
燕,0,y,25,245591,207.825,3.680
班,0,b,2,245543,207.784,3.680
楚,0,c,3,244780,207.139,3.682
鄢,0,y,25,243235,205.831,3.684
谌,0,c,3,220230,186.364,3.727
劳,0,l,12,215372,182.253,3.737
皮,0,p,16,213732,180.865,3.740
蔺,0,l,12,212366,179.709,3.743
奚,0,x,24,212353,179.698,3.743
闻,0,w,23,204764,173.276,3.759
粟,0,s,19,204669,173.196,3.759
满,0,m,13,204358,172.933,3.760
楼,0,l,12,203702,172.378,3.761
盘,0,p,16,201284,170.331,3.766
海,0,h,8,193602,163.831,3.783
伊,0,y,25,189055,159.983,3.793
位,0,w,23,185901,157.314,3.800
阚,0,k,11,184551,156.172,3.804
冼,0,x,24,184410,156.052,3.804
强,0,q,17,183740,155.485,3.806
仝,0,t,20,183521,155.300,3.806
索,0,s,19,183199,155.027,3.807
郜,0,g,7,182392,154.345,3.809
巴,0,b,2,182272,154.243,3.809
花,0,h,8,181466,153.561,3.811
玉,0,y,25,179719,152.083,3.815
盖,0,g,7,177367,150.092,3.821
帅,0,s,19,176242,149.140,3.824
凡,0,f,6,175529,148.537,3.825
屠,0,t,20,173962,147.211,3.829
豆,0,d,4,172852,146.272,3.832
权,0,q,17,172586,146.046,3.833
廉,0,l,12,172575,146.037,3.833
阿,0,a,1,172395,145.885,3.833
禹,0,y,25,171503,145.130,3.835
丰,0,f,6,167391,141.650,3.846
井,0,j,10,166881,141.219,3.847
练,0,l,12,165591,140.127,3.850
祖,0,z,26,165573,140.112,3.850
朴,0,p,16,165472,140.026,3.851
平,0,p,16,165002,139.629,3.852
漆,0,q,17,164068,138.838,3.854
国,0,g,7,163499,138.357,3.856
支,0,z,26,161807,136.925,3.860
狄,0,d,4,156540,132.468,3.875
卿,0,q,17,155167,131.306,3.878
计,0,j,10,154136,130.434,3.881
晋,0,j,10,152898,129.386,3.885
初,0,c,3,152486,129.037,3.886
相,0,x,24,151862,128.509,3.888
宣,0,x,24,151722,128.391,3.888
门,0,m,13,148821,125.936,3.896
云,0,y,25,145908,123.471,3.905
敬,0,j,10,143205,121.184,3.913
厉,0,l,12,142581,120.656,3.915
区,0,q,17,140876,119.213,3.920
来,0,l,12,137840,116.644,3.929
浦,0,p,16,136740,115.713,3.933
戈,0,g,7,135139,114.358,3.938
芮,0,r,18,134769,114.045,3.939
伏,0,f,6,133284,112.788,3.944
晁,0,c,3,133061,112.599,3.945
雍,0,y,25,132105,111.790,3.948
都,0,d,4,132021,111.719,3.948
薄,0,b,2,130467,110.404,3.953
邸,0,d,4,129707,109.761,3.956
鹿,0,l,12,129619,109.687,3.956
母,0,m,13,126870,107.360,3.965
修,0,x,24,126679,107.199,3.966
亓,0,q,17,125410,106.125,3.970
岩,0,y,25,124800,105.609,3.972
容,0,r,18,124665,105.495,3.973
赫,0,h,8,124592,105.433,3.973
阙,0,q,17,123880,104.830,3.975
羊,0,y,25,123115,104.183,3.978
辜,0,g,7,120779,102.206,3.986
裘,0,q,17,120003,101.549,3.989
杭,0,h,8,118770,100.506,3.994
宿,0,s,19,115969,98.136,4.004
鲜,0,x,24,115839,98.026,4.004
况,0,k,11,115152,97.444,4.007
印,0,y,25,113794,96.295,4.012
逯,0,l,12,112784,95.441,4.016
战,0,z,26,110951,93.889,4.023
隆,0,l,12,110763,93.730,4.024
邰,0,t,20,110044,93.122,4.026
诸,0,z,26,107838,91.255,4.035
慕,0,m,13,107057,90.594,4.038
茹,0,r,18,106838,90.409,4.039
达,0,d,4,105252,89.067,4.045
银,0,y,25,104115,88.105,4.050
嵇,0,j,10,103324,87.435,4.053
亢,0,k,11,102622,86.841,4.056
那,0,n,14,101210,85.646,4.062
危,0,w,23,101043,85.505,4.063
刀,0,d,4,100072,84.683,4.067
公,0,g,7,96849,81.956,4.081
才,0,c,3,96063,81.291,4.085
字,0,z,26,94779,80.204,4.090
湛,0,z,26,93660,79.257,4.096
戎,0,r,18,93310,78.961,4.097
宾,0,b,2,92791,78.522,4.100
萧,0,x,24,92689,78.436,4.100
茅,0,m,13,91866,77.739,4.104
居,0,j,10,91570,77.489,4.105
於,0,y,25,91084,77.077,4.107
勾,0,g,7,90468,76.556,4.110
干,0,g,7,88879,75.212,4.118
小,0,x,24,88173,74.614,4.121
尉,0,y,25,87816,74.312,4.123
揭,0,j,10,87474,74.023,4.125
但,0,d,4,87096,73.703,4.127
扎,0,z,26,85887,72.680,4.133
衣,0,y,25,85863,72.659,4.133
布,0,b,2,85462,72.320,4.135
束,0,s,19,84704,71.679,4.139
信,0,x,24,84122,71.186,4.142
展,0,z,26,83475,70.639,4.145
昝,0,z,26,83454,70.621,4.145
元,0,y,25,83116,70.335,4.147
利,0,l,12,81759,69.186,4.154
阴,0,y,25,81756,69.184,4.154
智,0,z,26,80416,68.050,4.161
呼,0,h,8,79823,67.548,4.164
富,0,f,6,79489,67.266,4.166
衡,0,h,8,78846,66.721,4.169
檀,0,t,20,78482,66.413,4.171
保,0,b,2,78245,66.213,4.173
拉,0,l,12,76686,64.894,4.181
由,0,y,25,75803,64.146,4.186
奉,0,f,6,75701,64.060,4.187
习,0,x,24,74688,63.203,4.192
幸,0,x,24,74617,63.143,4.193
腾,0,t,20,74458,63.008,4.194
户,0,h,8,74156,62.753,4.196
荀,0,x,24,74018,62.636,4.196
植,0,z,26,73822,62.470,4.197
闭,0,b,2,73029,61.799,4.202
尧,0,y,25,72955,61.736,4.202
渠,0,q,17,72668,61.493,4.204
钮,0,n,14,71437,60.452,4.211
哈,0,h,8,71353,60.381,4.212
虎,0,h,8,70849,59.954,4.215
巨,0,j,10,70567,59.716,4.217
贡,0,g,7,70050,59.278,4.220
雒,0,l,12,69654,58.943,4.222
青,0,q,17,69194,58.554,4.225
冶,0,y,25,68837,58.252,4.227
郗,0,x,24,68668,58.109,4.228
逄,0,p,16,67221,56.884,4.237
蹇,0,j,10,66996,56.694,4.239
旷,0,k,11,66990,56.689,4.239
昌,0,c,3,65693,55.591,4.247
弓,0,g,7,65589,55.503,4.248
操,0,c,3,64742,54.786,4.253
铁,0,t,20,64440,54.531,4.255
鄂,0,e,5,63855,54.036,4.259
税,0,s,19,63581,53.804,4.261
年,0,n,14,63562,53.788,4.261
扈,0,h,8,63402,53.652,4.262
谯,0,q,17,63121,53.415,4.264
庹,0,t,20,62072,52.527,4.271
上官,1,s,19,61554,52.088,4.275
矫,0,j,10,61352,51.918,4.276
娜,0,n,14,60870,51.510,4.280
竺,0,z,26,59722,50.538,4.288
木,0,m,13,59514,50.362,4.289
未,0,w,23,59308,50.188,4.291
步,0,b,2,59175,50.075,4.292
靖,0,j,10,58714,49.685,4.295
斯,0,s,19,58688,49.663,4.295
黑,0,h,8,57075,48.298,4.307
多,0,d,4,56680,47.964,4.310
东,0,d,4,56392,47.720,4.312
訾,0,z,26,56322,47.661,4.313
濮,0,p,16,56262,47.610,4.313
别,0,b,2,55993,47.383,4.315
藏,0,c,3,55741,47.169,4.317
水,0,s,19,55325,46.817,4.320
山,0,s,19,54623,46.223,4.326
轩,0,x,24,54219,45.881,4.329
种,0,z,26,54112,45.791,4.330
贝,0,b,2,53620,45.375,4.334
乌,0,w,23,53402,45.190,4.335
琚,0,j,10,53142,44.970,4.338
蔚,0,y,25,51886,43.907,4.348
宛,0,w,23,51814,43.846,4.348
尼,0,n,14,51512,43.591,4.351
侍,0,s,19,51269,43.385,4.353
咸,0,x,24,49408,41.810,4.368
皇甫,1,h,8,49179,41.616,4.370
从,0,c,3,48900,41.380,4.373
过,0,g,7,48853,41.341,4.373
茆,0,m,13,47844,40.487,4.382
菅,0,j,10,46917,39.702,4.390
暴,0,b,2,46659,39.484,4.393
化,0,h,8,46606,39.439,4.393
畅,0,c,3,46311,39.189,4.396
巢,0,c,3,46111,39.020,4.398
买,0,m,13,46100,39.011,4.398
续,0,x,24,45575,38.567,4.403
加,0,j,10,44602,37.743,4.412
寿,0,s,19,44183,37.389,4.416
泮,0,p,16,44170,37.378,4.416
宝,0,b,2,44138,37.351,4.416
扶,0,f,6,44016,37.247,4.417
令狐,1,l,12,43798,37.063,4.419
綦,0,q,17,43491,36.803,4.422
历,0,l,12,43149,36.514,4.426
经,0,j,10,42822,36.237,4.429
么,0,m,13,41735,35.317,4.440
德,0,d,4,41577,35.183,4.441
毋,0,w,23,41370,35.008,4.444
后,0,h,8,40860,34.577,4.449
格,0,g,7,40323,34.122,4.454
凤,0,f,6,40252,34.062,4.455
招,0,z,26,39871,33.740,4.459
仵,0,w,23,39730,33.620,4.461
资,0,z,26,39679,33.577,4.461
庾,0,y,25,39574,33.488,4.462
自,0,z,26,39400,33.341,4.464
伦,0,l,12,38470,32.554,4.474
汝,0,r,18,38206,32.331,4.477
蒯,0,k,11,37027,31.333,4.490
要,0,y,25,36568,30.945,4.496
英,0,y,25,36394,30.797,4.498
台,0,t,20,36268,30.691,4.499
央,0,y,25,35920,30.396,4.503
先,0,x,24,35214,29.799,4.511
生,0,s,19,35150,29.745,4.512
冒,0,m,13,35116,29.716,4.513
随,0,s,19,34632,29.306,4.518
双,0,s,19,34175,28.920,4.524
邴,0,b,2,33675,28.497,4.530
司徒,1,s,19,33645,28.471,4.531
粱,0,l,12,33585,28.420,4.531
隗,0,w,23,33406,28.269,4.534
依,0,y,25,33286,28.167,4.535
